tier,country,language,language_basis,name,domain,catalogue_sources_in_country,catalogue_sources_in_language,flags
T2,by,ru,export,Q85411781,braslav-star.by,4,38,
T2,by,ru,export,Q85430553,d-p.by,4,38,
T2,by,ru,export,Q85476391,dubrovno.by,4,38,
T2,by,ru,export,Q85487916,pridvinje.by,4,38,
T2,by,ru,export,Q85506138,gztzara.by,4,38,
T2,by,ru,export,Q85596863,lepel-kraj.by,4,38,
T2,by,be,export,Q85621160,natal.by,4,1,
T2,by,ru,export,Q85621540,novaya.by,4,38,
T2,by,ru,export,Q85663754,postawy.by,4,38,
T2,by,ru,export,Q85685608,pvestnik.by,4,38,
T2,by,ru,export,Q86053952,chashnikinews.by,4,38,
T2,by,ru,export,Q88866593,shumilino.by,4,38,
T2,by,ru,export,Q89268322,belpatriot.by,4,38,
T2,by,pl,export,Q9250151,echapolesia.pl,4,19,
T2,by,ru,export,Q94413171,cherikovnews.by,4,38,
T2,bz,,,Great Belize Television,channel5belize.com,2,,
T2,bz,,,LOVE FM,lovefm.com,2,,
T2,bz,,,WAVE Radio,belizeweb.com,2,,
T2,cf,,,Radio Ndeke Luka,radiondekeluka.org,1,,
T2,cg,,,Africanews,fr.africanews.com,2,,subdomain_of_catalogue_domain
T2,cg,fr,export,La Semaine africaine,lasemaineafricaine.net,2,205,
T2,cg,,,Radio Maria Congo,radiomaria.cg,2,,
T2,cm,en,export,Africa Presse,africapresse.com,3,2327,
